ProviderNumber(String),HospitalName(String),City(String),State(String),ZIPCode(String),CountyName(String),PhoneNumber(String),HospitalType(String),HospitalOwner(String),EmergencyService(String),Condition(String),MeasureCode(String),MeasureName(String),Sample(String),StateAvg(String)
10112,BRYAN W WHITFIELD MEM HOSP INC,DEMOPOLIS,AL,36732,MARENGO,3342894000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream - not a razor),55 patients,AL_SCIP-INF-6
10112,BRYAN W WHITFIELD MEM HOSP INC,DEMOPOLIS,AL,36732,MARENGO,3342894000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,26 patients,AL_SCIP-VTE-1
10112,BRYAN W WHITFIELD MEM HOSP INC,DEMOPOLIS,AL,36732,MARENGO,3342894000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,26 patients,AL_SCIP-VTE-2
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,149 patients,AL_AMI-1
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,216 patients,AL_AMI-2
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),40 patients,AL_AMI-3
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,83 patients,AL_AMI-4
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,220 patients,AL_AMI-5
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,AL_AMI-7A
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,30 patients,AL_AMI-8A
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,251 patients,AL_HF-1
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,301 patients,AL_HF-2
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),99 patients,AL_HF-3
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,68 patients,AL_HF-4
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,112 patients,AL_PN-2
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,87 patients,AL_PN-3B
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,58 patients,AL_PN-4
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,130 patients,AL_PN-5C
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),51 patients,AL_PN-6
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,83 patients,AL_PN-7
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,119 patients,AL_SCIP-CARD-2
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,503 patients,AL_SCIP-INF-1
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,510 patients,AL_SCIP-INF-2
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),473 patients,AL_SCIP-INF-3
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgic*al **Infe*ction Preventio*n,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,159 patients,AL_SCIP-INF-4
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream - not a razor),746 patients,AL_SCIP-INF-6
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,259 patients,AL_SCIP-VTE-1
10113,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,251 patients,AL_SCIP-VTE-2
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,115 patients,AL_AMI-1
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,79 patients,AL_AMI-2
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),24 patients,AL_AMI-3
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,28 patients,AL_AMI-4
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,78 patients,AL_AMI-5
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,AL_AMI-7A
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,0 patients,AL_AMI-8A
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,205 patients,AL_HF-1
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,227 patients,AL_HF-2
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),72 patients,AL_HF-3
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,62 patients,AL_HF-4
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,109 patients,AL_PN-2
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,134 patients,AL_PN-3B
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,73 patients,AL_PN-4
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,137 patients,AL_PN-5C
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),79 patients,AL_PN-6
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,84 patients,AL_PN-7
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,44 patients,AL_SCIP-CARD-2
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,209 patients,AL_SCIP-INF-1
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,202 patients,AL_SCIP-INF-2
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),184 patients,AL_SCIP-INF-3
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgi*ca*l Infec*tion Preve*n*tion,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,AL_SCIP-INF-4
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream - not a razor),371 patients,AL_SCIP-INF-6
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,230 patients,AL_SCIP-VTE-1
10114,MEDICAL WEST; AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,230 patients,AL_SCIP-VTE-2
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,50 patients,AL_AMI-1
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,27 patients,AL_AMI-2
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),7 patients,AL_AMI-3
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,5 patients,AL_AMI-4
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,29 patients,AL_AMI-5
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,4 patients,AL_AMI-7A
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,0 patients,AL_AMI-8A
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,264 patients,AL_HF-1
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,306 patients,AL_HF-2
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),106 patients,AL_HF-3
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,44 patients,AL_HF-4
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,114 patients,AL_PN-2
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,128 patients,AL_PN-3B
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,37 patients,AL_PN-4
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,150 patients,AL_PN-5C
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),92 patients,AL_PN-6
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,92 patients,AL_PN-7
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,24 patients,AL_SCIP-CARD-2
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,149 patients,AL_SCIP-INF-1
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,149 patients,AL_SCIP-INF-2
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),138 patients,AL_SCIP-INF-3
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Surgical Infe*ction P**re*vent*ion,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,AL_SCIP-INF-4
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream - not a razor),264 patients,AL_SCIP-INF-6
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,142 patients,AL_SCIP-VTE-1
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-VTE-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,142 patients,AL_SCIP-VTE-2
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,12 patients,AL_AMI-1
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,8 patients,AL_AMI-2
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),4 patients,AL_AMI-3
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-4,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,4 patients,AL_AMI-4
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-5,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,10 patients,AL_AMI-5
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-7A,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,0 patients,AL_AMI-7A
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-8A,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,0 patients,AL_AMI-8A
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Heart Failure,HF-1,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,75 patients,AL_HF-1
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Heart Failure,HF-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,88 patients,AL_HF-2
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Heart Failure,HF-3,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,33 patients,AL_HF-3
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Heart Failure,HF-4,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,26 patients,AL_HF-4
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Pneumonia,PN-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,46 patients,AL_PN-2
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Pneumonia,PN-3B,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,39 patients,AL_PN-3B
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Pneumonia,PN-4,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,29 patients,AL_PN-4
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Pneumonia,PN-5C,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,60 patients,AL_PN-5C
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Pneumonia,PN-6,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,47 patients,AL_PN-6
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Pneumonia,PN-7,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,36 patients,AL_PN-7
