age(String),workclass(String),fnlwgt(String),education(String),education_num(String),marital_status(String),occupation(String),relationship(String),race(String),sex(String),capital_gain(String),capital_loss(String),hours_per_week(String),nativecountry(String),class(String)
26,local-gov,336969,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,28,el-salvador,<=50k
55,private,255364,some-college,10,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50k
61,local-gov,167670,bachelors,13,married-spouse-absent,prof-specialty,not-in-family,white,male,0,0,40,united-states,<=50k
37,private,211494,hs-grad,9,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,>50k
78,local-gov,136198,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,15,united-states,<=50k
27,federal-gov,409815,some-college,10,never-married,adm-clerical,unmarried,black,female,0,0,40,united-states,<=50k
49,private,188823,hs-grad,9,divorced,prof-specialty,not-in-family,white,male,0,0,42,united-states,<=50k
55,state-gov,146326,masters,14,married-civ-spouse,prof-specialty,husband,white,male,7688,0,45,united-states,>50k
42,private,154374,bachelors,13,married-civ-spouse,transport-moving,husband,white,male,0,0,58,united-states,<=50k
22,?,216563,hs-grad,9,never-married,?,other-relative,white,female,0,0,40,united-states,<=50k
61,private,197286,9th,5,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
64,self-emp-not-inc,100722,bachelors,13,married-civ-spouse,adm-clerical,husband,white,male,0,0,5,united-states,<=50k
46,local-gov,377622,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,0,40,united-states,<=50k
24,private,145964,bachelors,13,never-married,exec-managerial,not-in-family,white,male,0,0,40,united-states,<=50k
27,private,358636,some-college,10,married-civ-spouse,craft-repair,husband,white,male,2829,0,70,united-states,<=50k
47,private,155489,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,7688,0,55,united-states,>50k
18,private,57413,some-college,10,divorced,other-service,own-child,white,male,0,0,15,united-states,<=50k
48,private,320421,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k
50,self-emp-not-inc,174752,hs-grad,9,divorced,farming-fishing,not-in-family,white,male,0,0,40,united-states,<=50k
40,state-gov,229364,masters,14,divorced,prof-specialty,not-in-family,white,female,0,0,45,united-states,<=50k
56,self-emp-not-inc,157486,10th,6,divorced,sales,own-child,white,male,0,0,40,united-states,<=50k
34,private,92682,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,4865,0,40,united-states,<=50k
56,federal-gov,101338,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,<=50k
18,private,132652,11th,7,never-married,other-service,own-child,white,male,0,0,20,united-states,<=50k
21,private,34616,some-college,10,never-married,other-service,own-child,white,female,0,0,25,united-states,<=50k
40,private,218903,hs-grad,9,divorced,tech-support,unmarried,white,female,0,0,40,united-states,<=50k
27,local-gov,204098,hs-grad,9,married-civ-spouse,handlers-cleaners,other-relative,white,male,0,0,50,united-states,<=50k
52,self-emp-not-inc,64045,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,99999,0,45,united-states,>50k
46,private,189763,hs-grad,9,divorced,sales,not-in-family,white,female,0,0,30,united-states,<=50k
23,private,26248,hs-grad,9,never-married,adm-clerical,own-child,white,female,0,0,40,united-states,<=50k
50,private,92079,some-college,10,married-civ-spouse,tech-support,husband,white,male,0,0,45,united-states,>50k
19,private,280071,some-college,10,never-married,machine-op-inspct,other-relative,white,male,0,0,50,united-states,<=50k
20,private,224059,hs-grad,9,never-married,other-service,not-in-family,white,male,0,0,40,united-states,<=50k
39,private,185520,some-college,10,divorced,exec-managerial,not-in-family,white,female,8614,0,40,united-states,>50k
24,private,265567,11th,7,never-married,craft-repair,own-child,white,male,0,0,35,united-states,<=50k
72,private,106890,assoc-voc,11,widowed,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
42,state-gov,39586,masters,14,married-civ-spouse,prof-specialty,wife,white,female,0,0,20,united-states,>50k
42,private,153132,bachelors,13,divorced,sales,unmarried,white,male,0,0,45,?,<=50k
51,private,209912,bachelors,13,divorced,exec-managerial,not-in-family,amer-indian-eskimo,male,0,0,50,united-states,<=50k
39,private,144169,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,>50k
40,local-gov,50442,some-college,10,never-married,adm-clerical,unmarried,amer-indian-eskimo,female,2977,0,35,united-states,<=50k
34,private,89644,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,55,united-states,>50k
19,private,275889,11th,7,never-married,handlers-cleaners,own-child,white,male,0,0,40,mexico,<=50k
26,private,231638,hs-grad,9,never-married,exec-managerial,own-child,white,female,0,0,40,united-states,<=50k
45,local-gov,224474,bachelors,13,divorced,prof-specialty,unmarried,white,female,4934,0,50,united-states,>50k
28,private,355259,masters,14,never-married,prof-specialty,not-in-family,white,female,0,0,40,united-states,>50k
30,federal-gov,68330,bachelors,13,never-married,prof-specialty,not-in-family,white,male,0,0,40,united-states,>50k
32,private,185410,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
19,private,87653,some-college,10,never-married,other-service,own-child,white,female,0,0,25,united-states,<=50k
21,private,286853,hs-grad,9,never-married,other-service,own-child,white,male,0,0,35,united-states,<=50k
54,private,96710,hs-grad,9,married-civ-spouse,priv-house-serv,other-relative,black,female,0,0,20,united-states,<=50k
62,private,160143,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,0,30,united-states,>50k
25,private,186925,some-college,10,never-married,other-service,not-in-family,white,male,2597,0,48,united-states,<=50k
49,self-emp-inc,109705,some-college,10,divorced,exec-managerial,unmarried,white,female,0,0,32,united-states,<=50k
32,private,94235,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,>50k
26,private,225279,some-college,10,never-married,prof-specialty,not-in-family,white,male,0,1602,40,?,<=50k
37,local-gov,297449,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,>50k
58,private,205896,hs-grad,9,divorced,sales,other-relative,white,female,0,0,40,united-states,<=50k
37,private,93717,some-college,10,married-civ-spouse,adm-clerical,wife,white,female,7298,0,45,united-states,>50k
41,private,194710,hs-grad,9,never-married,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50k
38,private,236391,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,7688,0,40,united-states,>50k
47,state-gov,189123,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,0,40,united-states,<=50k
42,private,358677,hs-grad,9,divorced,other-service,unmarried,black,male,0,0,35,united-states,<=50k
30,state-gov,199539,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,1902,40,united-states,<=50k
43,private,128170,some-college,10,married-civ-spouse,sales,husband,white,male,7688,0,40,united-states,>50k
34,private,231238,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,black,male,0,0,40,united-states,<=50k
57,private,296152,some-college,10,divorced,exec-managerial,other-relative,white,female,594,0,10,united-states,<=50k
46,private,166003,11th,7,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,<=50k
32,private,281437,some-college,10,married-civ-spouse,transport-moving,husband,white,male,0,0,55,united-states,<=50k
20,private,190231,9th,5,never-married,machine-op-inspct,own-child,white,female,0,0,11,nicaragua,<=50k
47,private,122026,assoc-voc,11,divorced,sales,not-in-family,white,male,0,0,50,united-states,<=50k
55,?,205527,hs-grad,9,divorced,?,not-in-family,white,male,0,0,20,united-states,<=50k
53,self-emp-not-inc,174102,7th-8th,4,married-civ-spouse,exec-managerial,husband,white,male,4386,0,50,greece,>50k
43,private,125461,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,65,united-states,>50k
80,self-emp-not-inc,184335,7th-8th,4,married-civ-spouse,farming-fishing,husband,white,male,0,0,30,united-states,<=50k
24,private,211345,some-college,10,never-married,other-service,own-child,white,female,0,0,40,mexico,<=50k
43,local-gov,147328,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,1977,60,united-states,>50k
22,private,222993,hs-grad,9,never-married,handlers-cleaners,own-child,white,male,0,0,40,united-states,<=50k
40,private,225978,some-college,10,separated,exec-managerial,not-in-family,black,male,0,0,40,united-states,<=50k
48,private,121124,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50k
56,?,656036,hs-grad,9,married-civ-spouse,?,husband,white,male,0,0,25,united-states,<=50k
34,?,346762,11th,7,divorced,?,own-child,white,male,0,0,84,united-states,<=50k
51,private,234057,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,45,united-states,>50k
24,federal-gov,306515,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
19,private,116562,hs-grad,9,never-married,other-service,own-child,white,female,0,0,40,united-states,<=50k
34,private,171159,some-college,10,divorced,adm-clerical,unmarried,white,female,0,0,30,united-states,<=50k
24,private,199011,hs-grad,9,never-married,craft-repair,own-child,white,male,0,0,40,united-states,<=50k
41,private,443508,bachelors,13,married-civ-spouse,transport-moving,husband,white,male,0,0,48,canada,>50k
24,private,29810,hs-grad,9,divorced,sales,not-in-family,white,female,0,0,38,united-states,<=50k
22,local-gov,238831,some-college,10,never-married,protective-serv,own-child,white,male,0,0,40,united-states,<=50k
32,federal-gov,566117,some-college,10,divorced,adm-clerical,unmarried,white,female,0,0,40,united-states,<=50k
41,private,255044,bachelors,13,divorced,exec-managerial,not-in-family,white,female,0,0,55,united-states,<=50k
20,private,436253,some-college,10,never-married,other-service,own-child,white,male,0,0,35,united-states,<=50k
31,private,300687,hs-grad,9,never-married,other-service,not-in-family,black,male,0,0,40,united-states,<=50k
55,private,144071,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,18,united-states,>50k
49,state-gov,133917,doctorate,16,married-civ-spouse,prof-specialty,husband,black,male,0,1902,60,?,>50k
26,private,188767,bachelors,13,never-married,sales,own-child,white,male,0,0,40,united-states,<=50k
27,self-emp-not-inc,300777,hs-grad,9,divorced,transport-moving,not-in-family,white,male,0,0,70,united-states,<=50k
35,private,26987,hs-grad,9,separated,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
40,private,174395,hs-grad,9,divorced,other-service,not-in-family,white,male,0,0,60,greece,<=50k
59,private,90290,some-college,10,married-civ-spouse,prof-specialty,husband,white,male,0,0,34,united-states,<=50k
61,private,183735,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,45,united-states,>50k
31,private,123273,hs-grad,9,never-married,sales,own-child,black,female,0,0,40,united-states,<=50k
43,federal-gov,186916,masters,14,divorced,protective-serv,not-in-family,white,male,0,0,60,united-states,>50k
61,private,43554,5th-6th,3,never-married,handlers-cleaners,not-in-family,black,male,0,2339,40,united-states,<=50k
54,private,178251,assoc-acdm,12,widowed,adm-clerical,unmarried,white,female,0,0,30,united-states,<=50k
30,private,255885,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k
20,private,64292,some-college,10,never-married,sales,not-in-family,white,female,0,0,50,united-states,<=50k
27,state-gov,194773,masters,14,never-married,prof-specialty,not-in-family,white,female,0,0,50,germany,<=50k
44,self-emp-inc,133060,some-college,10,divorced,machine-op-inspct,not-in-family,white,male,0,0,60,united-states,<=50k
64,private,258006,some-college,10,widowed,adm-clerical,not-in-family,white,female,0,0,40,cuba,<=50k
55,private,92215,hs-grad,9,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
34,private,33945,hs-grad,9,divorced,craft-repair,not-in-family,white,male,6849,0,55,united-states,<=50k
61,private,153048,hs-grad,9,widowed,sales,not-in-family,white,female,0,0,35,united-states,<=50k
28,private,192200,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,?,<=50k
34,private,355571,hs-grad,9,divorced,machine-op-inspct,unmarried,black,female,0,0,40,united-states,<=50k
47,self-emp-inc,139268,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,1977,60,united-states,>50k
26,private,34402,bachelors,13,never-married,adm-clerical,not-in-family,white,male,0,0,45,united-states,<=50k
35,private,25955,11th,7,never-married,other-service,unmarried,amer-indian-eskimo,male,0,0,40,united-states,<=50k
36,private,209609,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,38,united-states,<=50k
47,private,168283,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k
17,private,295488,11th,7,never-married,other-service,own-child,black,female,0,0,25,united-states,<=50k
35,private,190895,some-college,10,married-civ-spouse,prof-specialty,husband,white,male,0,0,60,united-states,<=50k
33,private,164190,masters,14,never-married,prof-specialty,own-child,white,male,0,0,20,united-states,<=50k
25,private,216010,assoc-acdm,12,married-civ-spouse,adm-clerical,wife,white,female,0,0,40,united-states,<=50k
18,private,387568,10th,6,never-married,sales,own-child,white,male,0,0,10,united-states,<=50k
47,state-gov,188386,masters,14,separated,prof-specialty,not-in-family,white,male,0,0,38,united-states,<=50k
44,private,174491,hs-grad,9,widowed,other-service,unmarried,black,female,0,0,30,united-states,<=50k
41,private,31221,hs-grad,9,divorced,other-service,unmarried,white,female,0,0,30,united-states,<=50k
30,private,272451,bachelors,13,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
53,self-emp-not-inc,152652,some-college,10,married-civ-spouse,farming-fishing,husband,white,male,0,0,50,united-states,<=50k
53,private,104413,hs-grad,9,widowed,other-service,unmarried,black,female,0,0,20,united-states,<=50k
40,private,105936,hs-grad,9,married-civ-spouse,sales,wife,white,female,5013,0,20,united-states,<=50k
24,private,379066,some-college,10,never-married,adm-clerical,not-in-family,white,male,0,2205,24,united-states,<=50k
27,private,214858,bachelors,13,never-married,sales,own-child,white,male,0,0,40,united-states,<=50k
50,private,237735,5th-6th,3,married-civ-spouse,transport-moving,husband,white,male,0,0,37,mexico,<=50k
36,private,158592,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,0,50,united-states,<=50k
41,private,237321,1st-4th,2,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,mexico,>50k
41,private,23646,masters,14,never-married,prof-specialty,not-in-family,white,female,0,0,40,united-states,<=50k
31,private,169240,hs-grad,9,never-married,other-service,not-in-family,white,female,0,0,40,united-states,<=50k
32,federal-gov,454508,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,<=50k
22,private,130356,some-college,10,never-married,machine-op-inspct,own-child,white,male,0,0,48,united-states,<=50k
22,private,427686,10th,6,divorced,craft-repair,own-child,white,male,0,0,40,united-states,<=50k
18,local-gov,36411,12th,8,never-married,prof-specialty,own-child,white,male,0,0,30,united-states,<=50k
39,private,548510,bachelors,13,married-civ-spouse,prof-specialty,husband,black,male,0,0,30,united-states,<=50k
38,private,187264,hs-grad,9,married-civ-spouse,exec-managerial,wife,white,female,0,0,55,united-states,<=50k
35,state-gov,140752,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
23,private,325596,some-college,10,never-married,machine-op-inspct,not-in-family,white,male,0,0,40,united-states,<=50k
54,self-emp-not-inc,175804,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50k
36,private,107302,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,60,united-states,>50k
63,local-gov,41161,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,55,united-states,<=50k
39,private,401832,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,48,united-states,<=50k
57,self-emp-not-inc,353808,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,60,united-states,>50k
58,self-emp-inc,349910,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,1977,50,united-states,>50k
29,private,161478,bachelors,13,never-married,adm-clerical,not-in-family,asian-pac-islander,female,0,0,40,japan,<=50k
17,private,400225,11th,7,never-married,sales,own-child,white,female,0,0,20,united-states,<=50k
40,private,367533,hs-grad,9,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
69,self-emp-not-inc,69306,some-college,10,married-civ-spouse,other-service,wife,white,female,0,0,15,united-states,<=50k
28,private,270366,10th,6,divorced,sales,not-in-family,white,female,0,0,40,united-states,<=50k
38,private,103751,9th,5,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
44,private,75227,prof-school,15,never-married,prof-specialty,not-in-family,white,male,14084,0,40,united-states,>50k
45,local-gov,132563,prof-school,15,divorced,prof-specialty,unmarried,black,female,0,1726,40,united-states,<=50k
33,state-gov,79580,bachelors,13,married-civ-spouse,adm-clerical,husband,black,male,0,0,40,united-states,<=50k
41,local-gov,344624,some-college,10,married-civ-spouse,other-service,husband,white,male,0,1485,40,united-states,>50k
37,self-emp-inc,186359,hs-grad,9,married-civ-spouse,sales,husband,white,male,7688,0,60,united-states,>50k
50,private,121685,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,45,united-states,>50k
48,private,75104,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,<=50k
26,?,188343,hs-grad,9,never-married,?,unmarried,black,female,0,0,40,united-states,<=50k
36,private,246449,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,60,united-states,>50k
21,private,85088,some-college,10,never-married,other-service,own-child,white,female,0,0,37,united-states,<=50k
37,private,545483,assoc-acdm,12,married-civ-spouse,farming-fishing,husband,white,male,0,0,40,united-states,<=50k
20,state-gov,243986,some-college,10,never-married,prof-specialty,own-child,white,female,0,0,20,united-states,<=50k
54,self-emp-not-inc,32778,hs-grad,9,married-civ-spouse,sales,wife,white,female,0,0,30,united-states,<=50k
28,private,369114,hs-grad,9,separated,sales,other-relative,white,female,0,0,40,united-states,<=50k
27,private,217200,some-college,10,never-married,prof-specialty,not-in-family,white,male,0,0,40,united-states,<=50k
33,private,149220,assoc-voc,11,never-married,other-service,unmarried,black,female,0,0,40,united-states,<=50k
46,?,162034,hs-grad,9,married-civ-spouse,?,husband,white,male,0,0,40,united-states,<=50k
28,?,157813,11th,7,divorced,?,unmarried,white,female,0,0,58,canada,<=50k
17,?,179715,10th,6,never-married,?,own-child,white,male,0,0,40,united-states,<=50k
40,self-emp-not-inc,335549,prof-school,15,never-married,prof-specialty,not-in-family,white,male,0,2444,45,united-states,>50k
47,private,102308,masters,14,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,>50k
44,private,367749,1st-4th,2,never-married,machine-op-inspct,not-in-family,white,female,0,0,40,el-salvador,<=50k
25,private,98281,12th,8,never-married,handlers-cleaners,unmarried,white,male,0,0,43,united-states,<=50k
35,private,115792,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,55,united-states,<=50k
29,private,277788,some-college,10,married-civ-spouse,sales,wife,white,female,0,0,25,united-states,<=50k
30,private,103435,hs-grad,9,divorced,machine-op-inspct,unmarried,white,male,0,0,40,united-states,<=50k
30,private,37646,some-college,10,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,<=50k
56,self-emp-not-inc,385632,7th-8th,4,divorced,other-service,unmarried,white,female,0,0,40,united-states,<=50k
25,self-emp-not-inc,210278,bachelors,13,never-married,prof-specialty,own-child,white,male,0,0,30,united-states,<=50k
28,private,335357,hs-grad,9,never-married,handlers-cleaners,own-child,black,male,0,0,40,united-states,<=50k
43,self-emp-not-inc,272165,9th,5,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
47,local-gov,148995,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,0,0,60,united-states,>50k
46,self-emp-not-inc,113434,bachelors,13,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
41,state-gov,132551,masters,14,divorced,prof-specialty,unmarried,white,female,0,0,35,united-states,<=50k
38,federal-gov,115433,assoc-acdm,12,married-civ-spouse,adm-clerical,wife,white,female,7688,0,33,united-states,>50k
29,private,227890,hs-grad,9,never-married,protective-serv,other-relative,black,male,0,0,40,united-states,<=50k
25,private,503012,5th-6th,3,never-married,craft-repair,not-in-family,white,male,0,0,40,mexico,<=50k
56,private,250873,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,0,45,united-states,<=50k
31,private,407930,7th-8th,4,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,<=50k
22,private,148187,11th,7,never-married,other-service,other-relative,white,male,0,0,40,united-states,<=50k
31,private,159322,hs-grad,9,never-married,handlers-cleaners,other-relative,white,male,0,0,40,united-states,<=50k
28,private,334368,some-college,10,separated,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
53,private,196328,bachelors,13,married-civ-spouse,exec-managerial,husband,black,male,0,0,40,united-states,<=50k
45,private,270842,masters,14,divorced,exec-managerial,not-in-family,white,female,0,0,50,united-states,>50k
71,private,235079,preschool,1,widowed,craft-repair,unmarried,black,male,0,0,10,united-states,<=50k
65,?,327154,hs-grad,9,widowed,?,unmarried,white,female,0,0,40,united-states,<=50k
39,private,188391,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,7298,0,50,united-states,>50k
19,federal-gov,30559,hs-grad,9,married-af-spouse,sales,wife,white,female,0,0,40,united-states,<=50k
34,local-gov,255098,bachelors,13,divorced,prof-specialty,unmarried,white,female,0,0,40,united-states,<=50k
36,private,248010,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,45,united-states,<=50k
40,private,174515,hs-grad,9,married-spouse-absent,other-service,own-child,white,female,0,0,40,united-states,<=50k
90,private,171956,some-college,10,separated,adm-clerical,own-child,white,female,0,0,40,puerto-rico,<=50k
56,private,193130,prof-school,15,married-civ-spouse,exec-managerial,husband,white,male,0,0,16,united-states,<=50k
21,private,108670,hs-grad,9,never-married,prof-specialty,not-in-family,white,female,0,0,40,united-states,<=50k
48,private,186172,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,45,united-states,>50k
45,private,348854,some-college,10,separated,adm-clerical,unmarried,white,female,0,0,27,united-states,<=50k
46,private,271828,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,>50k
64,private,148606,10th,6,separated,other-service,not-in-family,white,female,0,0,35,united-states,<=50k
29,local-gov,123983,masters,14,never-married,prof-specialty,own-child,asian-pac-islander,male,0,0,40,taiwan,<=50k
22,private,24896,hs-grad,9,divorced,tech-support,unmarried,white,female,0,0,30,germany,<=50k
47,private,573583,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,48,italy,>50k
67,self-emp-inc,106175,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,2392,75,united-states,>50k
43,private,307767,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,<=50k
42,private,200574,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,<=50k
31,private,59083,some-college,10,married-civ-spouse,other-service,husband,white,male,0,1672,50,united-states,<=50k
53,private,358056,11th,7,divorced,other-service,unmarried,white,female,0,0,40,united-states,<=50k
81,private,114670,9th,5,widowed,priv-house-serv,not-in-family,black,female,2062,0,5,united-states,<=50k
33,local-gov,262042,hs-grad,9,divorced,adm-clerical,own-child,white,female,0,1138,40,united-states,<=50k
17,private,206010,12th,8,never-married,other-service,own-child,white,female,0,0,8,united-states,<=50k
55,self-emp-inc,183869,prof-school,15,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,?,>50k
28,private,159001,hs-grad,9,never-married,handlers-cleaners,own-child,white,male,0,0,30,united-states,<=50k
24,private,155818,some-college,10,never-married,sales,own-child,white,female,0,0,40,united-states,<=50k
40,private,96055,hs-grad,9,separated,adm-clerical,unmarried,white,female,0,0,45,united-states,<=50k
30,local-gov,131776,masters,14,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
24,private,228613,11th,7,never-married,machine-op-inspct,unmarried,white,female,0,0,40,united-states,<=50k
26,private,198163,masters,14,married-civ-spouse,sales,wife,white,female,0,0,40,united-states,<=50k
38,private,37028,some-college,10,divorced,sales,unmarried,white,female,0,0,38,united-states,<=50k
30,private,177304,hs-grad,9,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,>50k
33,private,144064,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,<=50k
40,private,146659,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,60,united-states,>50k
63,self-emp-not-inc,26904,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,0,0,98,united-states,<=50k
23,private,238917,7th-8th,4,never-married,craft-repair,other-relative,white,male,0,0,36,united-states,<=50k
56,private,170148,hs-grad,9,divorced,craft-repair,unmarried,black,male,0,0,40,united-states,<=50k
42,self-emp-not-inc,27821,assoc-voc,11,married-civ-spouse,exec-managerial,husband,white,male,0,0,60,united-states,<=50k
40,private,220460,hs-grad,9,never-married,craft-repair,not-in-family,white,male,0,0,40,canada,<=50k
49,private,101320,assoc-acdm,12,married-civ-spouse,sales,wife,white,female,0,1902,40,united-states,>50k
35,private,173858,hs-grad,9,married-spouse-absent,craft-repair,not-in-family,asian-pac-islander,male,0,0,40,?,<=50k
52,private,91048,hs-grad,9,divorced,machine-op-inspct,own-child,black,female,0,0,35,united-states,<=50k
28,private,298696,bachelors,13,never-married,adm-clerical,own-child,white,female,0,0,40,united-states,<=50k
35,private,207202,10th,6,married-civ-spouse,transport-moving,husband,white,male,0,0,70,united-states,<=50k
21,?,230397,some-college,10,never-married,?,own-child,white,female,0,0,5,united-states,<=50k
43,self-emp-not-inc,180599,hs-grad,9,never-married,craft-repair,not-in-family,white,male,0,0,35,united-states,<=50k
32,?,199046,assoc-voc,11,never-married,?,unmarried,white,female,0,0,2,united-states,<=50k
29,self-emp-not-inc,132686,prof-school,15,never-married,prof-specialty,own-child,white,male,0,0,50,italy,>50k
23,private,240063,bachelors,13,never-married,machine-op-inspct,own-child,white,male,0,0,25,united-states,<=50k
50,local-gov,177705,some-college,10,married-civ-spouse,adm-clerical,husband,white,male,0,1740,48,united-states,<=50k
34,private,511361,some-college,10,never-married,other-service,own-child,black,male,0,0,40,united-states,<=50k
19,private,89397,hs-grad,9,never-married,other-service,own-child,white,male,0,0,40,united-states,<=50k
47,private,239439,11th,7,married-civ-spouse,machine-op-inspct,wife,black,female,0,0,40,united-states,<=50k
37,self-emp-not-inc,36989,some-college,10,married-civ-spouse,farming-fishing,husband,white,male,0,0,40,united-states,<=50k
25,private,76978,hs-grad,9,never-married,sales,unmarried,black,female,0,0,35,united-states,<=50k
75,private,200068,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,35,united-states,>50k
24,private,454941,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
28,state-gov,107218,bachelors,13,never-married,tech-support,own-child,asian-pac-islander,male,0,0,20,united-states,<=50k
17,local-gov,182070,11th,7,never-married,other-service,own-child,white,female,0,0,16,united-states,<=50k
31,private,176360,hs-grad,9,never-married,craft-repair,own-child,black,male,0,0,40,united-states,<=50k
31,private,452405,preschool,1,never-married,other-service,other-relative,white,female,0,0,35,mexico,<=50k
18,?,297396,hs-grad,9,never-married,?,own-child,white,male,0,0,10,united-states,<=50k
45,private,84790,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,55,united-states,>50k
31,private,186787,hs-grad,9,never-married,craft-repair,own-child,white,male,0,0,42,united-states,<=50k
27,private,169662,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,42,united-states,>50k
48,private,125933,some-college,10,widowed,exec-managerial,unmarried,black,female,0,1669,38,united-states,<=50k
22,?,35448,hs-grad,9,married-civ-spouse,?,wife,white,female,0,0,22,united-states,<=50k
34,private,225548,bachelors,13,married-civ-spouse,protective-serv,husband,black,male,0,0,30,united-states,<=50k
26,private,240842,hs-grad,9,never-married,machine-op-inspct,unmarried,black,female,0,0,40,united-states,<=50k
