attribute,wrong_val,correct_val
7984.high,103.95,89.24
30.date,20090831,20091005
2844.date,20091208,20100812
6893.date,20091215,20100311
6502.open,52.68,52.88
3149.volume,44737,61247
7272.high,26.0,17.96
979.ticker,A,ABT
9202.high,24.97,41.58
471.volume,304187,250988
6192.volume,335388,271689
597.volume,407514,219759
1998.high,27.26,29.86
1965.high,30.1625,31.89
5244.volume,208096,154777
2745.high,27.47,25.9
11.date,20090831,20090904
5329.date,20091223,20091007
3810.high,49.16,50.61
6502.high,53.33,55.04
28.date,20090831,20091001
3182.volume,285754,50931
226.date,20090828,20100723
3180.volume,226011,34797
7681.volume,65749,29496
131.volume,579178,50667
8989.high,33.87,74.6
6255.date,20100301,20100727
9563.high,28.95,55.41
5880.volume,409203,146214
9807.close,73.95,94.07
5354.high,29.48,29.24
6029.ticker,AMAT,AMD
501.volume,145331,133795
444.volume,598487,220405
8475.ticker,A,APD
372.date,20100408,20100303
9516.high,18.25,42.01
2100.date,20100712,20100721
4684.date,20091106,20100222
3184.volume,844784,168438
515.volume,289489,120588
8197.high,41.88,88.02
5306.date,20091013,20090902
1825.volume,43907,73739
1097.date,20100105,20100223
688.volume,39694,208954
550.volume,172977,113727
4342.volume,56406,32885
8466.date,20091015,20100812
1969.date,20100617,20100112
6497.low,52.5101,51.61
3735.high,43.679,55.8
5939.volume,352454,454102
3181.volume,505768,45975
3752.high,33.74,52.36
5401.low,29.75,29.69
5858.volume,285754,130251
7883.close,43.97,42.71
441.volume,598487,224594
7667.volume,184304,28726
881.volume,56186,17390
8206.high,119.09,90.12
7337.date,20090918,20100107
1905.volume,44547,38555
8473.ticker,ALTR,APD
2952.high,26.45,35.94
6657.date,20100317,20100324
9869.date,20100405,20100719
6518.ticker,A,AMP
8086.volume,57119,31042
7249.ticker,AMAT,AN
4750.volume,88359,25035
2591.open,30.16,29.8
9820.volume,263757,21293
886.date,20091118,20100413
736.ticker,A,ABC
2510.date,20091125,20100405
844.volume,316333,56552
8856.date,20091230,20100322
237.date,20090828,20100809
2608.ticker,A,AEE
6997.date,20090917,20100809
5928.volume,226011,278288
8694.high,43.03,70.84
5251.volume,241722,110916
734.ticker,A,ABC
9861.high,32.02,94.81
7159.volume,87696,47870
1714.ticker,AMP,ADI
3141.date,20091027,20091028
4838.high,31.58,19.04
203.date,20090828,20100621
9518.high,31.8764,44.485
8126.volume,108406,47980
6872.close,31.99,41.45
522.volume,156503,166309
2484.volume,123759,60612
6640.close,26.35,40.29
218.date,20090828,20100713
877.volume,56186,27411
8913.low,39.85,40.0
5854.volume,360358,172993
5708.low,25.11,25.35
7496.ticker,A,ANF
5705.date,20090910,20100427
9370.date,20100611,20100706
1609.close,35.02,27.87
2710.date,20090910,20100201
3178.volume,439037,37445
5868.volume,49363,102158
217.date,20090828,20100712
195.date,20090828,20100609
8299.high,28.36,58.9
613.volume,150280,181235
5824.volume,439037,159160
8230.ticker,A,APC
1879.ticker,A,ADM
4623.date,20091007,20091120
9883.close,59.47,101.34
5685.date,20100325,20100329
8113.close,52.77,106.59
4912.high,29.32,25.94
1714.date,20090924,20091228
19.volume,44547,44366
196.date,20090828,20100610
8176.high,11.03,92.73
5735.date,20091023,20100610
1726.high,9.54,30.05
7609.date,20100528,20100217
8833.low,41.2501,41.18
9172.date,20100503,20100706
875.volume,39189,25548
876.volume,56186,20647
7542.date,20091016,20091109
5531.low,28.26,28.43
9142.high,43.96,56.17
7009.ticker,A,AMZN
9812.high,34.45,101.54
18.date,20090831,20090917
8956.date,20091015,20100812
8601.close,81.97,74.2
5274.volume,321248,57825
1031.close,55.33,53.63
7741.ticker,A,AOC
9.date,20090831,20090902
8735.close,43.2,39.37
4932.date,20100224,20100226
5357.close,29.28,29.37
5652.date,20100114,20100209
4645.date,20091217,20091223
202.date,20090828,20100618
7353.date,20090821,20100201
2717.volume,316333,20904
6817.high,64.23,41.3
1298.close,46.52,46.85
5308.low,27.96,28.03
1450.high,17.84,35.66
8717.low,32.85,32.83
2995.volume,86154,33624
8750.date,20100114,20091009
9404.ticker,ALTR,ATI
4749.volume,92388,22780
2235.high,28.0,40.72
236.date,20090828,20100806
5881.volume,360358,192211
3520.date,20091130,20100519
5856.volume,23126,128189
4528.high,16.84,20.63
2997.close,34.55,34.49
7181.volume,65754,59409
4110.close,45.15,44.53
4181.open,23.67,23.99
25.date,20090831,20090928
6027.date,20100524,20100820
8823.date,20091005,20100202
6301.close,31.13,58.58
2631.close,31.92,25.28
210.date,20090828,20100630
5562.date,20100609,20090921
715.volume,54585,208846
8830.low,39.18,38.79
7834.date,20100618,20100120
9708.high,61.85,72.55
521.volume,156503,216101
4343.volume,407486,29859
3810.close,48.93,50.51
7907.date,20100426,20100505
5767.date,20091120,20100727
9413.date,20091118,20090904
5950.volume,296618,208989
5303.date,20100528,20090828
6520.high,29.75,30.08
9938.high,36.24,34.9
5984.date,20100408,20100618
1737.date,20100119,20100201
145.volume,108406,38466
494.ticker,A,AAPL
5933.volume,20326,164524
238.date,20090828,20100810
2946.date,20100422,20100119
3105.volume,321248,38019
5810.volume,309389,145934
103.volume,56186,31202
9992.date,20100709,20100122
8358.high,30.94,71.94
5783.date,20090924,20100819
667.volume,39694,271200
2414.low,27.61,27.41
2980.date,20100302,20100309
9365.high,43.14,63.23
2366.ticker,A,ADSK
4458.close,19.09,17.95
2042.date,20100310,20100428
676.volume,39694,237964
8718.ticker,ALTR,APH
3164.low,12.79,12.81
4348.volume,238356,39082
4630.date,20091216,20091202
5055.ticker,A,AKS
5864.volume,55883,168989
915.high,29.19,31.07
8817.close,32.98,40.85
7873.date,20100421,20100317
7438.high,31.4,21.96
4976.volume,119059,59523
9667.high,74.77,75.98
691.volume,21000,280221
44.date,20090831,20091023
6520.close,29.45,30.06
10.date,20090831,20090903
3483.high,31.7,34.88
9772.high,37.25,81.84
2981.volume,706508,25222
5511.date,20100723,20100707
687.volume,39694,215343
8916.date,20091221,20100616
6031.ticker,A,AMD
7485.date,20090824,20100810
8719.ticker,A,APH
372.volume,208096,333070
9502.high,28.77,44.99
3482.volume,294546,52671
5954.date,20091119,20100505
698.volume,39694,264095
9866.open,63.71,100.03
1784.volume,56186,33239
51.volume,54585,26442
845.low,26.93,26.95
5309.low,28.45,28.47
4132.open,36.25,36.0
201.date,20090828,20100617
8720.ticker,A,APH
405.volume,485827,237407
8155.high,30.06,98.67
5823.volume,23126,171064
26.date,20090831,20090929
7506.close,30.69,31.33
368.volume,226011,395519
2413.close,27.71,27.6
7916.high,41.93,41.99
8696.close,25.63,71.6
5296.volume,289307,91428
4863.date,20091125,20091116
8832.low,40.66,40.01
5786.volume,20326,217018
6869.high,27.69,42.63
6451.high,35.98,55.35
16.date,20090831,20090915
2007.volume,579178,44765
7540.date,20091224,20091105
221.date,20090828,20100716
497.volume,167509,111264
5242.volume,56829,76939
5285.date,20090824,20100803
4390.volume,27229,18090
5348.date,20091123,20091110
611.volume,407514,164487
2825.close,26.43,24.6
8218.high,34.97,96.82
1805.volume,56186,46768
3035.date,20100727,20100526
4379.volume,260527,19583
3513.low,28.62,28.6
3670.high,40.13,47.15
477.volume,210013,259331
4094.low,38.85,39.23
2997.open,34.54,34.3
211.date,20090828,20100701
8947.date,20100416,20100730
9990.date,20090924,20100120
5234.volume,844784,136632
6803.date,20091203,20091022
230.date,20090828,20100729
2464.volume,164355,23057
4369.volume,208096,34615
7882.close,64.21,42.89
93.date,20091210,20100112
5258.volume,231952,74660
5764.high,28.07,28.685
5825.volume,253448,150191
394.date,20091217,20100405
7651.high,27.83,48.892
2492.volume,579178,16448
3175.volume,68290,39088
7568.high,29.5,35.91
5862.low,13.76,13.72
219.date,20090828,20100714
2770.close,26.0,26.47
5291.volume,60679,71465
9040.high,38.88,58.03
9573.close,19.99,50.55
8915.high,24.99,43.02
3187.volume,321215,57031
4362.volume,56406,20251
878.volume,56186,24072
17.date,20090831,20090916
464.volume,304187,258446
3328.high,21.25,10.6
9938.open,35.67,34.75
3845.high,14.72,57.37
9726.high,55.56,81.73
370.volume,226011,315896
9969.date,20090922,20091217
8305.high,30.01,62.69
9444.low,34.74,34.5
1624.date,20100819,20100810
3861.close,65.21,56.21
2024.date,20090826,20100401
3191.volume,55883,46992
4278.high,27.45,39.14
3444.low,29.654,29.79
9878.close,35.12,105.09
286.volume,289307,366106
7963.ticker,AIG,AON
658.volume,54585,162264
516.volume,196742,123351
4700.date,20100510,20100316
7965.high,35.93,36.86
36.date,20090831,20091013
5403.date,20100809,20100201
9866.date,20100609,20100714
6851.date,20100107,20100108
9953.date,20100707,20091124
2985.volume,353365,21811
690.volume,21000,311950
2996.date,20100308,20100331
7155.volume,101271,59472
5853.volume,68290,176929
7592.high,31.04,30.77
507.volume,187396,269293
2021.date,20100813,20100329
551.volume,150280,102374
3280.volume,88359,143217
5357.high,29.53,29.54
1747.volume,39189,63180
8241.high,92.9,58.02
3580.low,27.86,27.8
4530.close,60.04,19.3
360.volume,440230,461584
2413.low,27.22,27.35
862.date,20100304,20100309
8786.date,20091127,20091208
4610.date,20100616,20091027
855.volume,21000,40366
7709.close,37.23,35.83
7426.date,20091023,20100517
546.volume,426330,133685
9825.volume,73116,15427
2826.date,20100616,20100719
2827.date,20091221,20100720
7740.ticker,A,AOC
9778.close,76.13,84.55
6234.date,20100126,20100625
9826.volume,76231,13896
220.date,20090828,20100715
809.volume,66422,49903
8145.high,46.41,111.0
5257.volume,365988,90493
7627.low,42.81,42.89
3897.date,20091105,20091204
8717.close,33.12,33.35
1392.ticker,A,ADBE
5545.ticker,A,ALTR
8132.high,35.73,106.55
8153.volume,132645,65833
1896.volume,56186,50555
389.volume,378109,321711
4816.high,29.91,18.02
530.volume,156503,336510
411.volume,320911,325759
1856.date,20100419,20100722
2592.date,20091130,20100803
7952.date,20091125,20100709
5741.close,26.52,25.96
9869.ticker,APD,AVB
2564.high,24.25,28.32
3267.volume,263757,216149
5865.volume,86165,56635
480.volume,598487,155604
228.date,20090828,20100727
3867.high,30.65,58.95
677.volume,39694,291290
3930.close,57.92,58.46
1298.high,46.65,47.13
5811.date,20091119,20090930
1298.open,45.81,46.34
1961.low,31.12,31.25
5406.date,20100602,20100204
1838.volume,56186,42099
8515.high,44.16,83.41
2242.date,20091105,20100224
209.date,20090828,20100629
3148.volume,441903,64129
1522.volume,436721,39330
8920.low,41.15,41.79
442.volume,598487,183371
528.volume,156503,133412
8447.open,47.91,49.16
5308.close,28.8,28.85
548.volume,407514,145317
5546.ticker,A,ALTR
4784.high,60.1398,37.07
5009.date,20091020,20100618
3559.low,27.72,27.77
45.date,20090831,20091026
7297.date,20100325,20091109
4916.date,20100427,20100203
